Geography,Zip,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area)
ZCTA5 94706,94706,"19,615",1.5,"13,287"
ZCTA5 94707,94707,"11,710",1.7,"6,907"
ZCTA5 94708,94708,"10,985",3.4,"3,239"
ZCTA5 94709,94709,"11,806",0.6,"20,084"
ZCTA5 94710,94710,"6,948",2.1,"3,233"
ZCTA5 94720,94720,"2,964",0.6,"4,761"
ZCTA5 94801,94801,"29,395",11.3,"2,606"
ZCTA5 94803,94803,"24,904",11.7,"2,134"
ZCTA5 94804,94804,"38,559",6.2,"6,241"
ZCTA5 94805,94805,"13,648",2,"6,873"
ZCTA5 94806,94806,"59,861",8.3,"7,183"
ZCTA5 94850,94850,0,0,0
ZCTA5 94901,94901,"41,157",13.2,"3,127"
ZCTA5 94903,94903,"29,040",20.1,"1,448"
ZCTA5 94904,94904,"11,995",7.2,"1,656"
ZCTA5 94920,94920,"12,474",6.5,"1,910"
ZCTA5 94922,94922,425,12.3,34
ZCTA5 94923,94923,"1,411",21.4,66
ZCTA5 94924,94924,"1,638",23.1,71
ZCTA5 94925,94925,"9,253",3.2,"2,925"
ZCTA5 94928,94928,"43,170",7.7,"5,604"
ZCTA5 94929,94929,264,1.1,249
ZCTA5 94930,94930,"8,500",15.9,534
ZCTA5 94931,94931,"8,470",6.4,"1,333"
ZCTA5 94933,94933,865,1.1,790
ZCTA5 94937,94937,837,41.6,20
ZCTA5 94938,94938,812,10.6,77
ZCTA5 94939,94939,"6,859",2.1,"3,208"
ZCTA5 94940,94940,268,22.8,12
ZCTA5 94941,94941,"30,496",22.2,"1,372"
ZCTA5 94945,94945,"17,167",26,660
ZCTA5 94946,94946,699,43.7,16
ZCTA5 94947,94947,"24,283",22.7,"1,070"
ZCTA5 94949,94949,"17,202",15,"1,145"
ZCTA5 94950,94950,89,8.6,10
ZCTA5 94951,94951,"4,124",14.7,281
ZCTA5 94952,94952,"32,858",180.2,182
ZCTA5 94954,94954,"37,365",62,603
ZCTA5 94956,94956,"1,756",58.4,30
ZCTA5 94957,94957,"1,332",1.1,"1,164"
ZCTA5 94960,94960,"15,740",5.9,"2,653"
ZCTA5 94963,94963,569,2.7,214
ZCTA5 94964,94964,"5,094",0.4,"13,067"
ZCTA5 94965,94965,"10,847",13.5,802
ZCTA5 94970,94970,683,7,98
ZCTA5 94971,94971,337,12.4,27
ZCTA5 94972,94972,52,11.6,4
ZCTA5 94973,94973,"1,429",4,359
ZCTA5 95002,95002,"2,077",12,173
ZCTA5 95003,95003,"23,974",35.1,682
ZCTA5 95004,95004,"3,918",18.2,216
ZCTA5 95005,95005,"6,311",11.9,528
ZCTA5 95006,95006,"8,979",53.5,168
ZCTA5 95007,95007,676,0.6,"1,181"
ZCTA5 95008,95008,"45,260",6.4,"7,086"
ZCTA5 95010,95010,"9,137",1.4,"6,658"
ZCTA5 95012,95012,"10,320",14.9,691
ZCTA5 95013,95013,80,1.5,52
ZCTA5 95014,95014,"60,717",26.9,"2,255"
ZCTA5 95017,95017,834,50,17
ZCTA5 95018,95018,"7,778",18.8,414
ZCTA5 95019,95019,"7,727",1.2,"6,364"
ZCTA5 95020,95020,"57,349",155.9,368
